,count,mean,std,min,25%,50%,75%,max
sector_consumer_durables_pct,1000.0,0.023607863344101646,0.06670563616514304,0.0,0.0,0.0,0.01733094690308828,0.8559752569380157
sector_consumer_services_pct,1000.0,0.029515354798332828,0.07677034793766135,0.0,0.0,0.0,0.020374302329930358,0.7619462347756676
sector_fmcg_pct,1000.0,0.0610134000092978,0.11324277054601957,0.0,0.0,0.012762542177932977,0.07100354120290558,0.748398431276596
sector_financial_services_pct,1000.0,0.0940947056283117,0.13343480547540112,0.0,0.008076590580759845,0.04452157727689904,0.11962512699767641,0.9341773395113065
sector_healthcare_pct,1000.0,0.14270914761015172,0.19039907965857975,0.0,0.0,0.06760013172206011,0.19356176552237583,0.9574090412505147
sector_information_technology_pct,1000.0,0.08187544019135953,0.13100112122509303,0.0,0.0,0.023164109695258086,0.10407697523448756,0.8820552065788996
sector_metals_&_mining_pct,1000.0,0.013809479340938015,0.051856235470193274,0.0,0.0,0.0,0.0,0.671949358976151
sector_oil_gas_&_consumable_fuels_pct,1000.0,0.00578004302594489,0.019933598531594727,0.0,0.0,0.0,0.0019472048301575227,0.2532368942675959
sector_power_pct,1000.0,0.013250441112289815,0.03924217615394623,0.0,0.0,0.0,0.009100029154396965,0.5126424709312467
sector_realty_pct,1000.0,0.025866819868874315,0.06150115506011602,0.0,0.0,0.0,0.02106173017040548,0.5975111707211548
sector_services_pct,1000.0,0.013733254250734668,0.056940471574332796,0.0,0.0,0.0,0.0,0.5464767015396874
sector_telecommunication_pct,1000.0,0.003618356633231244,0.019760321619901388,0.0,0.0,0.0,0.0,0.2850015617037408
sector_textiles_pct,1000.0,0.022701440511789638,0.11910583464811884,0.0,0.0,0.0,0.0,0.8983436268305682
diversification_score,1000.0,70.6705,16.523423945686588,6.56,63.5975,75.775,82.57749999999999,91.78
portfolio_beta,1000.0,0.8101840667135116,0.12708440449122413,0.35804436695800357,0.7399076613774936,0.8125030713360423,0.8747335869174875,1.3601648215880031
risk_score,1000.0,6.7645,2.0045717892003916,3.0,6.5,6.5,9.0,9.0
concentration_warning,1000.0,0.479,0.49980877224075293,0.0,0.0,0.0,1.0,1.0
volatility_warning,1000.0,0.089,0.28488622318420415,0.0,0.0,0.0,0.0,1.0
diversification_warning,1000.0,0.321,0.4670943985718275,0.0,0.0,0.0,1.0,1.0
